session_id,label,ts,source,scenario_id,attack_subtype,label_method,environment,packet_rate,unique_dst_ports,dst_port_entropy,mean_inter_arrival,std_inter_arrival,unique_src_ips,src_ip_entropy
ddos_multi_04__benign_udpspoof_0,0,1789389388.3507788,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0794,0.3053,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389388.490779,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0794,0.3053,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389388.630779,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0914,0.3219,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389388.7707791,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0914,0.3219,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389388.9107792,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0405,0.3359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.0507793,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0405,0.3359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.1907794,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0405,0.3359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.3307796,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0405,0.3359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.4707797,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0405,0.3359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.6107798,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0183,0.3499,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.7507799,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0183,0.3499,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389389.89078,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0183,0.3499,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.03078,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0183,0.3499,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.1707802,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0183,0.3499,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.3107803,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0586,0.3491,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.4507804,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0586,0.3491,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.5907805,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0586,0.3491,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.7307806,real,ddos_multi_04,,generator_ground_truth,docker_multihost,9,1,-0.0,1.0833,0.3628,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389390.8707807,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0248,0.38,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.0107808,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0248,0.38,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.150781,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0248,0.38,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.290781,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0248,0.38,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.4307811,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.977,0.388,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.5707812,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,0.9794,0.4089,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.7107813,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,0.9794,0.4089,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.8507814,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,0.9794,0.4089,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389391.9907815,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,0.9794,0.4089,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389392.1307817,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9544,0.3951,1,-0.0
